"cust_a_id","cust_b_id","name_a","name_b","domain_a","domain_b","signup_a","signup_b","same_domain","similar_name","similar_signup","match_score","duplicate_confidence"
700,857,"warpops","sync dev","gmail.com","gmail.com","2023-03-14","2023-03-13",1,0,1,2,"MEDIUM — probable duplicate"
696,966,"linklabs","glow hub","corp.net","corp.net","2023-03-15","2023-03-10",1,0,1,2,"MEDIUM — probable duplicate"
696,1009,"linklabs","linkdigital","corp.net","corp.net","2023-03-15","2023-03-17",1,0,1,2,"MEDIUM — probable duplicate"
787,881,"unitsolutions","orbitsoftware","company.io","company.io","2023-03-17","2023-03-10",1,0,1,2,"MEDIUM — probable duplicate"
787,1144,"unitsolutions","zen io","company.io","company.io","2023-03-17","2023-03-16",1,0,1,2,"MEDIUM — probable duplicate"
698,807,"datagroup","warptech","yahoo.com","yahoo.com","2023-03-18","2023-03-16",1,0,1,2,"MEDIUM — probable duplicate"
196,787,"clouddynamics","unitsolutions","company.io","company.io","2023-03-21","2023-03-17",1,0,1,2,"MEDIUM — probable duplicate"
629,778,"flowdev","yield analytics","tech.dev","tech.dev","2023-03-21","2023-03-27",1,0,1,2,"MEDIUM — probable duplicate"
196,1144,"clouddynamics","zen io","company.io","company.io","2023-03-21","2023-03-16",1,0,1,2,"MEDIUM — probable duplicate"
380,1133,"keenio","hubcorp","protonmail.com","protonmail.com","2023-03-22","2023-03-26",1,0,1,2,"MEDIUM — probable duplicate"
380,707,"keenio","peakhub","protonmail.com","protonmail.com","2023-03-22","2023-03-28",1,0,1,2,"MEDIUM — probable duplicate"
380,1138,"keenio","onyx labs","protonmail.com","protonmail.com","2023-03-22","2023-03-27",1,0,1,2,"MEDIUM — probable duplicate"
138,424,"arcnet","ionventures","corp.net","corp.net","2023-03-25","2023-04-01",1,0,1,2,"MEDIUM — probable duplicate"
1133,1138,"hubcorp","onyx labs","protonmail.com","protonmail.com","2023-03-26","2023-03-27",1,0,1,2,"MEDIUM — probable duplicate"
707,1138,"peakhub","onyx labs","protonmail.com","protonmail.com","2023-03-28","2023-03-27",1,0,1,2,"MEDIUM — probable duplicate"
707,1133,"peakhub","hubcorp","protonmail.com","protonmail.com","2023-03-28","2023-03-26",1,0,1,2,"MEDIUM — probable duplicate"
438,778,"edgeio","yield analytics","tech.dev","tech.dev","2023-03-29","2023-03-27",1,0,1,2,"MEDIUM — probable duplicate"
206,778,"rushhq","yield analytics","tech.dev","tech.dev","2023-03-31","2023-03-27",1,0,1,2,"MEDIUM — probable duplicate"
951,1033,"datalabs","warplabs","company.io","company.io","2023-03-31","2023-03-30",1,0,1,2,"MEDIUM — probable duplicate"
206,438,"rushhq","edgeio","tech.dev","tech.dev","2023-03-31","2023-03-29",1,0,1,2,"MEDIUM — probable duplicate"
424,464,"ionventures","ion works","corp.net","corp.net","2023-04-01","2023-04-08",1,0,1,2,"MEDIUM — probable duplicate"
319,571,"linksystems","meta net","yahoo.com","yahoo.com","2023-04-02","2023-03-31",1,0,1,2,"MEDIUM — probable duplicate"
218,464,"keen dynamics","ion works","corp.net","corp.net","2023-04-10","2023-04-08",1,0,1,2,"MEDIUM — probable duplicate"
533,1081,"edge studio","edge software","protonmail.com","tech.dev","2023-04-11","2023-04-15",0,1,1,2,"MEDIUM — probable duplicate"
533,817,"edge studio","ionplatform","protonmail.com","protonmail.com","2023-04-11","2023-04-18",1,0,1,2,"MEDIUM — probable duplicate"
815,1083,"echo ai","kitecorp","tech.dev","tech.dev","2023-04-13","2023-04-19",1,0,1,2,"MEDIUM — probable duplicate"
815,1081,"echo ai","edge software","tech.dev","tech.dev","2023-04-13","2023-04-15",1,0,1,2,"MEDIUM — probable duplicate"
1081,1083,"edge software","kitecorp","tech.dev","tech.dev","2023-04-15","2023-04-19",1,0,1,2,"MEDIUM — probable duplicate"
254,1083,"gridhub","kitecorp","tech.dev","tech.dev","2023-04-19","2023-04-19",1,0,1,2,"MEDIUM — probable duplicate"
254,815,"gridhub","echo ai","tech.dev","tech.dev","2023-04-19","2023-04-13",1,0,1,2,"MEDIUM — probable duplicate"
254,770,"gridhub","beamanalytics","tech.dev","tech.dev","2023-04-19","2023-04-25",1,0,1,2,"MEDIUM — probable duplicate"
254,1081,"gridhub","edge software","tech.dev","tech.dev","2023-04-19","2023-04-15",1,0,1,2,"MEDIUM — probable duplicate"
801,898,"ultracorp","nova systems","enterprise.com","enterprise.com","2023-04-20","2023-04-26",1,0,1,2,"MEDIUM — probable duplicate"
454,540,"mistsystems","quest dev","startup.co","startup.co","2023-04-20","2023-04-24",1,0,1,2,"MEDIUM — probable duplicate"
1074,1117,"acme dev","acme labs","gmail.com","gmail.com","2023-04-21","2024-10-08",1,1,0,2,"MEDIUM — probable duplicate"
1074,1196,"acme dev","acme hub","gmail.com","gmail.com","2023-04-21","2023-11-05",1,1,0,2,"MEDIUM — probable duplicate"
540,702,"quest dev","riftops","startup.co","startup.co","2023-04-24","2023-04-29",1,0,1,2,"MEDIUM — probable duplicate"
770,1083,"beamanalytics","kitecorp","tech.dev","tech.dev","2023-04-25","2023-04-19",1,0,1,2,"MEDIUM — probable duplicate"
350,794,"driftsolutions","pulseventures","outlook.com","outlook.com","2023-04-26","2023-04-30",1,0,1,2,"MEDIUM — probable duplicate"
545,722,"sage ops","sage dynamics","sageops.com","corp.net","2023-04-28","2023-04-21",0,1,1,2,"MEDIUM — probable duplicate"
270,911,"jadetech","luna hq","gmail.com","gmail.com","2023-05-02","2023-05-01",1,0,1,2,"MEDIUM — probable duplicate"
102,1165,"flow labs","flow net","protonmail.com","protonmail.com","2023-05-05","2024-04-23",1,1,0,2,"MEDIUM — probable duplicate"
102,180,"flow labs","rush dev","protonmail.com","protonmail.com","2023-05-05","2023-05-10",1,0,1,2,"MEDIUM — probable duplicate"
351,418,"lunahq","kitegroup","yahoo.com","yahoo.com","2023-05-07","2023-04-30",1,0,1,2,"MEDIUM — probable duplicate"
970,1156,"ion dev","ion digital","company.io","company.io","2023-05-07","2023-02-12",1,1,0,2,"MEDIUM — probable duplicate"
142,580,"yieldtech","warplogic","tech.dev","tech.dev","2023-05-11","2023-05-15",1,0,1,2,"MEDIUM — probable duplicate"
1067,1174,"riftlogic","tidalsolutions","corp.net","corp.net","2023-05-12","2023-05-07",1,0,1,2,"MEDIUM — probable duplicate"
870,970,"quarkhq","ion dev","company.io","company.io","2023-05-14","2023-05-07",1,0,1,2,"MEDIUM — probable duplicate"
580,595,"warplogic","flowsolutions","tech.dev","tech.dev","2023-05-15","2023-05-20",1,0,1,2,"MEDIUM — probable duplicate"
580,983,"warplogic","orbitcorp","tech.dev","tech.dev","2023-05-15","2023-05-19",1,0,1,2,"MEDIUM — probable duplicate"
230,509,"peakplatform","warpnet","gmail.com","gmail.com","2023-05-16","2023-05-17",1,0,1,2,"MEDIUM — probable duplicate"
595,983,"flowsolutions","orbitcorp","tech.dev","tech.dev","2023-05-20","2023-05-19",1,0,1,2,"MEDIUM — probable duplicate"
937,978,"driftplatform","beam hq","outlook.com","outlook.com","2023-05-20","2023-05-25",1,0,1,2,"MEDIUM — probable duplicate"
902,1040,"rift hub","vine works","corp.net","corp.net","2023-05-21","2023-05-24",1,0,1,2,"MEDIUM — probable duplicate"
902,1170,"rift hub","rift labs","corp.net","company.io","2023-05-21","2023-05-26",0,1,1,2,"MEDIUM — probable duplicate"
96,1114,"peakops","linkdev","enterprise.com","enterprise.com","2023-05-21","2023-05-17",1,0,1,2,"MEDIUM — probable duplicate"
1047,1136,"dataworks","tidaldynamics","protonmail.com","protonmail.com","2023-05-22","2023-05-22",1,0,1,2,"MEDIUM — probable duplicate"
885,1040,"jet studio","vine works","corp.net","corp.net","2023-05-30","2023-05-24",1,0,1,2,"MEDIUM — probable duplicate"
92,885,"driftventures","jet studio","corp.net","corp.net","2023-06-04","2023-05-30",1,0,1,2,"MEDIUM — probable duplicate"
777,927,"linkcorp","beam platform","company.io","company.io","2023-06-05","2023-06-05",1,0,1,2,"MEDIUM — probable duplicate"
377,927,"zenlogic","beam platform","company.io","company.io","2023-06-07","2023-06-05",1,0,1,2,"MEDIUM — probable duplicate"
377,777,"zenlogic","linkcorp","company.io","company.io","2023-06-07","2023-06-05",1,0,1,2,"MEDIUM — probable duplicate"
81,92,"waveops","driftventures","corp.net","corp.net","2023-06-08","2023-06-04",1,0,1,2,"MEDIUM — probable duplicate"
81,434,"waveops","meta solutions","corp.net","corp.net","2023-06-08","2023-06-14",1,0,1,2,"MEDIUM — probable duplicate"
2,355,"trekstack","cloud ops","startup.co","startup.co","2023-06-09","2023-06-15",1,0,1,2,"MEDIUM — probable duplicate"
336,695,"wavegroup","yielddigital","hotmail.com","hotmail.com","2023-06-09","2023-06-15",1,0,1,2,"MEDIUM — probable duplicate"
238,798,"vertexstack","nexussoftware","yahoo.com","yahoo.com","2023-06-12","2023-06-10",1,0,1,2,"MEDIUM — probable duplicate"
238,284,"vertexstack","echoops","yahoo.com","yahoo.com","2023-06-12","2023-06-14",1,0,1,2,"MEDIUM — probable duplicate"
238,633,"vertexstack","jet ops","yahoo.com","yahoo.com","2023-06-12","2023-06-14",1,0,1,2,"MEDIUM — probable duplicate"
284,1056,"echoops","unitcorp","yahoo.com","yahoo.com","2023-06-14","2023-06-20",1,0,1,2,"MEDIUM — probable duplicate"
633,845,"jet ops","corelabs","yahoo.com","yahoo.com","2023-06-14","2023-06-21",1,0,1,2,"MEDIUM — probable duplicate"
633,1019,"jet ops","jet net","yahoo.com","yahoo.com","2023-06-14","2025-02-20",1,1,0,2,"MEDIUM — probable duplicate"
284,845,"echoops","corelabs","yahoo.com","yahoo.com","2023-06-14","2023-06-21",1,0,1,2,"MEDIUM — probable duplicate"
284,633,"echoops","jet ops","yahoo.com","yahoo.com","2023-06-14","2023-06-14",1,0,1,2,"MEDIUM — probable duplicate"
633,798,"jet ops","nexussoftware","yahoo.com","yahoo.com","2023-06-14","2023-06-10",1,0,1,2,"MEDIUM — probable duplicate"
284,798,"echoops","nexussoftware","yahoo.com","yahoo.com","2023-06-14","2023-06-10",1,0,1,2,"MEDIUM — probable duplicate"
633,1056,"jet ops","unitcorp","yahoo.com","yahoo.com","2023-06-14","2023-06-20",1,0,1,2,"MEDIUM — probable duplicate"
695,928,"yielddigital","kitetech","hotmail.com","hotmail.com","2023-06-15","2023-06-19",1,0,1,2,"MEDIUM — probable duplicate"
695,988,"yielddigital","arc systems","hotmail.com","hotmail.com","2023-06-15","2023-06-20",1,0,1,2,"MEDIUM — probable duplicate"
355,763,"cloud ops","cloudplatform","startup.co","startup.co","2023-06-15","2023-06-17",1,0,1,2,"MEDIUM — probable duplicate"
171,265,"unitnet","fluxventures","outlook.com","outlook.com","2023-06-18","2023-06-13",1,0,1,2,"MEDIUM — probable duplicate"
16,355,"iris labs","cloud ops","startup.co","startup.co","2023-06-18","2023-06-15",1,0,1,2,"MEDIUM — probable duplicate"
16,327,"iris labs","jadepro","startup.co","startup.co","2023-06-18","2023-06-20",1,0,1,2,"MEDIUM — probable duplicate"
16,763,"iris labs","cloudplatform","startup.co","startup.co","2023-06-18","2023-06-17",1,0,1,2,"MEDIUM — probable duplicate"
97,649,"questworks","arc ai","corp.net","corp.net","2023-06-19","2023-06-24",1,0,1,2,"MEDIUM — probable duplicate"
928,988,"kitetech","arc systems","hotmail.com","hotmail.com","2023-06-19","2023-06-20",1,0,1,2,"MEDIUM — probable duplicate"
97,1116,"questworks","hub stack","corp.net","corp.net","2023-06-19","2023-06-26",1,0,1,2,"MEDIUM — probable duplicate"
97,434,"questworks","meta solutions","corp.net","corp.net","2023-06-19","2023-06-14",1,0,1,2,"MEDIUM — probable duplicate"
327,763,"jadepro","cloudplatform","startup.co","startup.co","2023-06-20","2023-06-17",1,0,1,2,"MEDIUM — probable duplicate"
327,355,"jadepro","cloud ops","startup.co","startup.co","2023-06-20","2023-06-15",1,0,1,2,"MEDIUM — probable duplicate"
845,1056,"corelabs","unitcorp","yahoo.com","yahoo.com","2023-06-21","2023-06-20",1,0,1,2,"MEDIUM — probable duplicate"
649,1116,"arc ai","hub stack","corp.net","corp.net","2023-06-24","2023-06-26",1,0,1,2,"MEDIUM — probable duplicate"
649,844,"arc ai","metastack","corp.net","corp.net","2023-06-24","2023-07-01",1,0,1,2,"MEDIUM — probable duplicate"
649,988,"arc ai","arc systems","corp.net","hotmail.com","2023-06-24","2023-06-20",0,1,1,2,"MEDIUM — probable duplicate"
936,1055,"zealhq","novasoftware","gmail.com","gmail.com","2023-06-25","2023-06-26",1,0,1,2,"MEDIUM — probable duplicate"
205,327,"hubai","jadepro","startup.co","startup.co","2023-06-26","2023-06-20",1,0,1,2,"MEDIUM — probable duplicate"
1116,1139,"hub stack","hub works","corp.net","corp.net","2023-06-26","2024-10-10",1,1,0,2,"MEDIUM — probable duplicate"
263,368,"warpventures","nexusworks","outlook.com","outlook.com","2023-06-27","2023-07-03",1,0,1,2,"MEDIUM — probable duplicate"
133,857,"sync works","sync dev","gmail.com","gmail.com","2023-06-29","2023-03-13",1,1,0,2,"MEDIUM — probable duplicate"
105,484,"unitops","gridcorp","company.io","company.io","2023-06-29","2023-06-28",1,0,1,2,"MEDIUM — probable duplicate"
133,1055,"sync works","novasoftware","gmail.com","gmail.com","2023-06-29","2023-06-26",1,0,1,2,"MEDIUM — probable duplicate"
133,936,"sync works","zealhq","gmail.com","gmail.com","2023-06-29","2023-06-25",1,0,1,2,"MEDIUM — probable duplicate"
394,672,"datastack","rushplatform","protonmail.com","protonmail.com","2023-06-30","2023-06-25",1,0,1,2,"MEDIUM — probable duplicate"
304,445,"pulse dynamics","pulse platform","enterprise.com","pulseplatform.com","2023-06-30","2023-06-23",0,1,1,2,"MEDIUM — probable duplicate"
844,1116,"metastack","hub stack","corp.net","corp.net","2023-07-01","2023-06-26",1,0,1,2,"MEDIUM — probable duplicate"
248,844,"sage pro","metastack","corp.net","corp.net","2023-07-05","2023-07-01",1,0,1,2,"MEDIUM — probable duplicate"
248,565,"sage pro","xenon solutions","corp.net","corp.net","2023-07-05","2023-07-10",1,0,1,2,"MEDIUM — probable duplicate"
248,722,"sage pro","sage dynamics","corp.net","corp.net","2023-07-05","2023-04-21",1,1,0,2,"MEDIUM — probable duplicate"
855,1175,"flowdynamics","nexus studio","gmail.com","gmail.com","2023-07-08","2023-07-10",1,0,1,2,"MEDIUM — probable duplicate"
312,855,"sageio","flowdynamics","gmail.com","gmail.com","2023-07-13","2023-07-08",1,0,1,2,"MEDIUM — probable duplicate"
312,548,"sageio","zeal logic","gmail.com","gmail.com","2023-07-13","2023-07-16",1,0,1,2,"MEDIUM — probable duplicate"
312,1175,"sageio","nexus studio","gmail.com","gmail.com","2023-07-13","2023-07-10",1,0,1,2,"MEDIUM — probable duplicate"
326,366,"nexusanalytics","vertexhq","hotmail.com","hotmail.com","2023-07-14","2023-07-17",1,0,1,2,"MEDIUM — probable duplicate"
326,1041,"nexusanalytics","ion ops","hotmail.com","hotmail.com","2023-07-14","2023-07-19",1,0,1,2,"MEDIUM — probable duplicate"
548,1017,"zeal logic","zeal platform","gmail.com","gmail.com","2023-07-16","2024-12-17",1,1,0,2,"MEDIUM — probable duplicate"
548,1175,"zeal logic","nexus studio","gmail.com","gmail.com","2023-07-16","2023-07-10",1,0,1,2,"MEDIUM — probable duplicate"
548,809,"zeal logic","zeal digital","gmail.com","gmail.com","2023-07-16","2024-07-07",1,1,0,2,"MEDIUM — probable duplicate"
366,1041,"vertexhq","ion ops","hotmail.com","hotmail.com","2023-07-17","2023-07-19",1,0,1,2,"MEDIUM — probable duplicate"
258,886,"mist net","mist group","tech.dev","tech.dev","2023-07-25","2025-03-20",1,1,0,2,"MEDIUM — probable duplicate"
119,611,"echoplatform","riftdynamics","startup.co","startup.co","2023-07-28","2023-07-31",1,0,1,2,"MEDIUM — probable duplicate"
119,538,"echoplatform","iondigital","startup.co","startup.co","2023-07-28","2023-07-29",1,0,1,2,"MEDIUM — probable duplicate"
940,1043,"peakcloud","nexussystems","enterprise.com","enterprise.com","2023-07-29","2023-07-23",1,0,1,2,"MEDIUM — probable duplicate"
538,611,"iondigital","riftdynamics","startup.co","startup.co","2023-07-29","2023-07-31",1,0,1,2,"MEDIUM — probable duplicate"
299,553,"keen analytics","tidalplatform","hotmail.com","hotmail.com","2023-07-31","2023-07-29",1,0,1,2,"MEDIUM — probable duplicate"
907,989,"edgeanalytics","mistdynamics","company.io","company.io","2023-08-02","2023-08-08",1,0,1,2,"MEDIUM — probable duplicate"
811,1159,"yield ventures","vine dynamics","outlook.com","outlook.com","2023-08-03","2023-07-27",1,0,1,2,"MEDIUM — probable duplicate"
647,803,"vine hub","vine tech","protonmail.com","protonmail.com","2023-08-05","2024-07-29",1,1,0,2,"MEDIUM — probable duplicate"
647,923,"vine hub","trekdynamics","protonmail.com","protonmail.com","2023-08-05","2023-07-30",1,0,1,2,"MEDIUM — probable duplicate"
660,765,"nova ops","nova corp","gmail.com","gmail.com","2023-08-07","2023-12-19",1,1,0,2,"MEDIUM — probable duplicate"
804,985,"zeal tech","cloudio","enterprise.com","enterprise.com","2023-08-08","2023-08-10",1,0,1,2,"MEDIUM — probable duplicate"
989,1044,"mistdynamics","xenon software","company.io","company.io","2023-08-08","2023-08-10",1,0,1,2,"MEDIUM — probable duplicate"
329,647,"zenlabs","vine hub","protonmail.com","protonmail.com","2023-08-08","2023-08-05",1,0,1,2,"MEDIUM — probable duplicate"
989,1199,"mistdynamics","flowventures","company.io","company.io","2023-08-08","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
775,1044,"hubsoftware","xenon software","company.io","company.io","2023-08-09","2023-08-10",1,0,1,2,"MEDIUM — probable duplicate"
775,989,"hubsoftware","mistdynamics","company.io","company.io","2023-08-09","2023-08-08",1,0,1,2,"MEDIUM — probable duplicate"
775,907,"hubsoftware","edgeanalytics","company.io","company.io","2023-08-09","2023-08-02",1,0,1,2,"MEDIUM — probable duplicate"
775,1199,"hubsoftware","flowventures","company.io","company.io","2023-08-09","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
285,329,"luna dev","zenlabs","protonmail.com","protonmail.com","2023-08-10","2023-08-08",1,0,1,2,"MEDIUM — probable duplicate"
1044,1199,"xenon software","flowventures","company.io","company.io","2023-08-10","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
285,647,"luna dev","vine hub","protonmail.com","protonmail.com","2023-08-10","2023-08-05",1,0,1,2,"MEDIUM — probable duplicate"
285,671,"luna dev","luna group","protonmail.com","hotmail.com","2023-08-10","2023-08-13",0,1,1,2,"MEDIUM — probable duplicate"
144,804,"mist ai","zeal tech","enterprise.com","enterprise.com","2023-08-11","2023-08-08",1,0,1,2,"MEDIUM — probable duplicate"
144,985,"mist ai","cloudio","enterprise.com","enterprise.com","2023-08-11","2023-08-10",1,0,1,2,"MEDIUM — probable duplicate"
231,235,"orbitanalytics","syncsystems","company.io","company.io","2023-08-12","2023-08-16",1,0,1,2,"MEDIUM — probable duplicate"
231,1199,"orbitanalytics","flowventures","company.io","company.io","2023-08-12","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
231,775,"orbitanalytics","hubsoftware","company.io","company.io","2023-08-12","2023-08-09",1,0,1,2,"MEDIUM — probable duplicate"
231,989,"orbitanalytics","mistdynamics","company.io","company.io","2023-08-12","2023-08-08",1,0,1,2,"MEDIUM — probable duplicate"
391,407,"quarksolutions","mistsolutions","tech.dev","tech.dev","2023-08-12","2023-08-10",1,0,1,2,"MEDIUM — probable duplicate"
391,860,"quarksolutions","flux group","tech.dev","tech.dev","2023-08-12","2023-08-18",1,0,1,2,"MEDIUM — probable duplicate"
231,1044,"orbitanalytics","xenon software","company.io","company.io","2023-08-12","2023-08-10",1,0,1,2,"MEDIUM — probable duplicate"
671,1052,"luna group","luna net","hotmail.com","hotmail.com","2023-08-13","2025-06-18",1,1,0,2,"MEDIUM — probable duplicate"
668,1008,"linkhub","datatech","outlook.com","outlook.com","2023-08-13","2023-08-20",1,0,1,2,"MEDIUM — probable duplicate"
944,1042,"trekhq","warp works","startup.co","startup.co","2023-08-14","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
137,285,"tidal solutions","luna dev","protonmail.com","protonmail.com","2023-08-15","2023-08-10",1,0,1,2,"MEDIUM — probable duplicate"
137,635,"tidal solutions","tidal dynamics","protonmail.com","protonmail.com","2023-08-15","2023-10-14",1,1,0,2,"MEDIUM — probable duplicate"
137,329,"tidal solutions","zenlabs","protonmail.com","protonmail.com","2023-08-15","2023-08-08",1,0,1,2,"MEDIUM — probable duplicate"
235,875,"syncsystems","jetdynamics","company.io","company.io","2023-08-16","2023-08-22",1,0,1,2,"MEDIUM — probable duplicate"
421,671,"tidallabs","luna group","hotmail.com","hotmail.com","2023-08-16","2023-08-13",1,0,1,2,"MEDIUM — probable duplicate"
235,775,"syncsystems","hubsoftware","company.io","company.io","2023-08-16","2023-08-09",1,0,1,2,"MEDIUM — probable duplicate"
235,311,"syncsystems","linkgroup","company.io","company.io","2023-08-16","2023-08-21",1,0,1,2,"MEDIUM — probable duplicate"
235,1199,"syncsystems","flowventures","company.io","company.io","2023-08-16","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
235,1132,"syncsystems","echo analytics","company.io","company.io","2023-08-16","2023-08-21",1,0,1,2,"MEDIUM — probable duplicate"
235,1044,"syncsystems","xenon software","company.io","company.io","2023-08-16","2023-08-10",1,0,1,2,"MEDIUM — probable duplicate"
574,944,"peakworks","trekhq","startup.co","startup.co","2023-08-17","2023-08-14",1,0,1,2,"MEDIUM — probable duplicate"
574,1042,"peakworks","warp works","startup.co","startup.co","2023-08-17","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
31,671,"vinesolutions","luna group","hotmail.com","hotmail.com","2023-08-19","2023-08-13",1,0,1,2,"MEDIUM — probable duplicate"
31,421,"vinesolutions","tidallabs","hotmail.com","hotmail.com","2023-08-19","2023-08-16",1,0,1,2,"MEDIUM — probable duplicate"
1132,1199,"echo analytics","flowventures","company.io","company.io","2023-08-21","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
311,1199,"linkgroup","flowventures","company.io","company.io","2023-08-21","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
311,875,"linkgroup","jetdynamics","company.io","company.io","2023-08-21","2023-08-22",1,0,1,2,"MEDIUM — probable duplicate"
311,1132,"linkgroup","echo analytics","company.io","company.io","2023-08-21","2023-08-21",1,0,1,2,"MEDIUM — probable duplicate"
875,1199,"jetdynamics","flowventures","company.io","company.io","2023-08-22","2023-08-15",1,0,1,2,"MEDIUM — probable duplicate"
